origem,alvo,h,modelo,y_true,media,q10,q20,q30,q40,q50,q60,q70,q80,q90
2019-05-01,2019-07-01,2,ardl_logdiff,-0.042933,-0.035448,-0.084678,-0.064604,-0.050689,-0.043559,-0.033333,-0.022814,-0.015567,-0.005664,0.014859
2019-05-01,2019-07-01,2,ar1_logdiff,-0.042933,-0.033063,-0.070074,-0.052457,-0.046259,-0.041170,-0.031111,-0.021719,-0.018399,-0.011302,0.001182
2019-06-01,2019-07-01,1,ardl_logdiff,-0.042933,-0.037955,-0.057971,-0.049271,-0.043921,-0.041837,-0.038879,-0.032718,-0.030025,-0.025643,-0.017435
2019-06-01,2019-07-01,1,ar1_logdiff,-0.042933,-0.037186,-0.054751,-0.046303,-0.043659,-0.041062,-0.036356,-0.031717,-0.030158,-0.027097,-0.020759
2019-06-01,2019-08-01,2,ardl_logdiff,-0.024380,-0.029343,-0.077667,-0.056664,-0.043747,-0.038715,-0.031573,-0.016700,-0.010198,0.000381,0.020197
2019-06-01,2019-08-01,2,ar1_logdiff,-0.024380,-0.032302,-0.068951,-0.051323,-0.045808,-0.040388,-0.030569,-0.020889,-0.017638,-0.011250,0.001974
2019-07-01,2019-08-01,1,ardl_logdiff,-0.024380,-0.031728,-0.051324,-0.042295,-0.037342,-0.035784,-0.032570,-0.026446,-0.024146,-0.019484,-0.011616
2019-07-01,2019-08-01,1,ar1_logdiff,-0.024380,-0.035699,-0.053109,-0.044662,-0.041967,-0.039639,-0.035001,-0.030193,-0.028683,-0.025988,-0.019274
2019-07-01,2019-09-01,2,ardl_logdiff,0.005935,-0.006573,-0.053882,-0.032084,-0.020128,-0.016366,-0.008606,0.006177,0.011730,0.022987,0.041981
2019-07-01,2019-09-01,2,ar1_logdiff,0.005935,-0.009284,-0.045603,-0.027981,-0.022361,-0.017503,-0.007829,0.002201,0.005352,0.010974,0.024979
2019-08-01,2019-09-01,1,ardl_logdiff,0.005935,-0.002964,-0.022307,-0.013021,-0.008626,-0.007013,-0.003655,0.002317,0.004256,0.009063,0.016667
2019-08-01,2019-09-01,1,ar1_logdiff,0.005935,-0.002598,-0.020116,-0.011661,-0.008932,-0.006583,-0.001852,0.002819,0.004492,0.008547,0.013556
2019-08-01,2019-10-01,2,ardl_logdiff,0.013592,-0.020655,-0.067352,-0.044934,-0.034323,-0.030429,-0.022322,-0.007904,-0.003224,0.008382,0.026738
2019-08-01,2019-10-01,2,ar1_logdiff,0.013592,-0.017502,-0.054050,-0.036409,-0.030717,-0.025815,-0.015946,-0.006200,-0.002708,0.005751,0.016202
2019-09-01,2019-10-01,1,ardl_logdiff,0.013592,-0.016289,-0.035398,-0.025873,-0.022046,-0.020386,-0.015585,-0.011055,-0.008411,-0.004522,0.002751
2019-09-01,2019-10-01,1,ar1_logdiff,0.013592,-0.012454,-0.030039,-0.021614,-0.018804,-0.016451,-0.011624,-0.006959,-0.005304,-0.001846,0.003513
2019-09-01,2019-11-01,2,ardl_logdiff,-0.009833,-0.015649,-0.061782,-0.038786,-0.029546,-0.025538,-0.013948,-0.003012,0.003370,0.012760,0.030318
2019-09-01,2019-11-01,2,ar1_logdiff,-0.009833,-0.013153,-0.049820,-0.032254,-0.026393,-0.021487,-0.011421,-0.001695,0.001756,0.008968,0.020142
2019-10-01,2019-11-01,1,ardl_logdiff,-0.009833,-0.000702,-0.019845,-0.010486,-0.006623,-0.004852,0.001184,0.004276,0.007369,0.011033,0.019285
2019-10-01,2019-11-01,1,ar1_logdiff,-0.009833,0.002352,-0.015559,-0.007144,-0.004268,-0.001897,0.004395,0.007625,0.009167,0.013085,0.018585
2019-10-01,2019-12-01,2,ardl_logdiff,-0.021805,-0.000878,-0.047092,-0.024497,-0.015171,-0.010895,0.003676,0.011142,0.018608,0.027454,0.047377
2019-10-01,2019-12-01,2,ar1_logdiff,-0.021805,0.006621,-0.030714,-0.013173,-0.007178,-0.002237,0.010878,0.017610,0.020824,0.028991,0.040454
2019-11-01,2019-12-01,1,ardl_logdiff,-0.021805,-0.005362,-0.024092,-0.014821,-0.011472,-0.009889,-0.004963,-0.000368,0.002712,0.006466,0.015086
2019-11-01,2019-12-01,1,ar1_logdiff,-0.021805,-0.000450,-0.018099,-0.009982,-0.007160,-0.004783,0.000178,0.004753,0.006533,0.010454,0.016010
2019-11-01,2020-01-01,2,ardl_logdiff,-0.002960,0.000234,-0.044985,-0.022603,-0.014517,-0.010696,0.001197,0.012291,0.019727,0.028789,0.049601
2019-11-01,2020-01-01,2,ar1_logdiff,-0.002960,-0.001714,-0.038555,-0.021613,-0.015721,-0.010760,-0.000402,0.009148,0.012863,0.021048,0.032645
2019-12-01,2020-01-01,1,ardl_logdiff,-0.002960,-0.007758,-0.025847,-0.018772,-0.013912,-0.012288,-0.008699,-0.002630,0.000171,0.003941,0.013139
2019-12-01,2020-01-01,1,ar1_logdiff,-0.002960,-0.014398,-0.032229,-0.024270,-0.021073,-0.018509,-0.013717,-0.008805,-0.007160,-0.003242,0.002146
2019-12-01,2020-02-01,2,ardl_logdiff,0.000982,-0.016034,-0.059703,-0.042624,-0.030891,-0.026969,-0.018306,-0.003652,0.003110,0.012211,0.034416
